,Id,Series,Time,CPU_Load,Power,Network_RX,Network_TX,Inlet_Temperature,CPU1_Temperature,CPU2_Temperature,Fan_speed1,Fan_speed2,Fan_speed3,Fan_speed4,Ram,Ram_Used,No_Of_Running_vms,CPU_cores,CPU_cores_used,Ambient_Temperature,Cooling_Power,Total_Power,CPU_Temp_Max
0,qh2-rcc1412018-10-0911:20:00,qh2-rcc141 ,2018-10-09 11:20:00,7.23,173.87,453407.97,1766535.62,17.07,53.13,48.43,9051.0,9094.17,9067.33,9069.67,515639.0,416310.0,9.0,64.0,64.0,70.2,56.97,230.84,53.13
1,qh2-rcc1412018-10-0911:30:00,qh2-rcc141 ,2018-10-09 11:30:00,7.38,174.8,74610.52,837348.45,17.0,53.7,49.0,8920.33,8984.5,8970.5,8955.33,515639.0,416310.0,9.0,64.0,64.0,70.7,57.28,232.08,53.7
2,qh2-rcc1412018-10-0911:40:00,qh2-rcc141 ,2018-10-09 11:40:00,7.26,177.07,717084.74,1497325.74,17.1,53.92,49.7,8951.83,9006.67,8989.17,8979.83,515639.0,416310.0,9.0,64.0,64.0,71.02,58.02,235.09,53.92
3,qh2-rcc1412018-10-0911:50:00,qh2-rcc141 ,2018-10-09 11:50:00,7.21,175.2,388704.38,510487.06,17.07,54.3,49.63,8832.83,8873.67,8855.0,8884.17,515639.0,416310.0,9.0,64.0,64.0,71.37,57.41,232.61,54.3
4,qh2-rcc1412018-10-0912:00:00,qh2-rcc141 ,2018-10-09 12:00:00,7.12,177.2,201291.17,441036.71,17.0,54.18,50.13,8919.17,8982.17,8956.5,8956.5,515639.0,416310.0,9.0,64.0,64.0,71.18,58.07,235.27,54.18
5,qh2-rcc1412018-10-0912:10:00,qh2-rcc141 ,2018-10-09 12:10:00,6.95,175.2,45436.25,134656.05,17.1,53.5,49.43,9055.67,9104.67,9080.17,9080.17,515639.0,416310.0,9.0,64.0,64.0,70.6,57.41,232.61,53.5
6,qh2-rcc1412018-10-0912:20:00,qh2-rcc141 ,2018-10-09 12:20:00,7.21,176.8,39268.44,129834.55,17.0,53.97,49.93,9055.67,9123.33,9088.33,9080.17,515639.0,416310.0,9.0,64.0,64.0,70.97,57.94,234.74,53.97
7,qh2-rcc1412018-10-0912:30:00,qh2-rcc141 ,2018-10-09 12:30:00,7.41,175.73,218819.25,72809.58,17.23,53.97,49.83,8946.0,9010.17,8985.67,8975.17,515639.0,416310.0,9.0,64.0,64.0,71.2,57.59,233.32,53.97
8,qh2-rcc1412018-10-0912:40:00,qh2-rcc141 ,2018-10-09 12:40:00,7.44,176.0,168556.05,489002.03,17.0,53.93,49.77,8901.67,8950.67,8936.67,8923.83,515639.0,416310.0,9.0,64.0,64.0,70.93,57.67,233.67,53.93
9,qh2-rcc1412018-10-0912:50:00,qh2-rcc141 ,2018-10-09 12:50:00,7.24,177.2,350071.03,628822.57,17.12,54.37,50.45,8792.0,8849.17,8828.17,8827.0,515639.0,416310.0,9.0,64.0,64.0,71.48,58.07,235.27,54.37
