,Id,Series,Time,CPU_Load,Power,Network_RX,Network_TX,Inlet_Temperature,CPU1_Temperature,CPU2_Temperature,Fan_speed1,Fan_speed2,Fan_speed3,Fan_speed4,Ram,Ram_Used,No_Of_Running_vms,CPU_cores,CPU_cores_used,Ambient_Temperature,Cooling_Power,Total_Power,CPU_Temp_Max
0,qh2-rcc1622018-10-0911:20:00,qh2-rcc162 ,2018-10-09 11:20:00,27.83,268.93,469184.74,592642.88,19.0,69.02,67.7,8905.17,8906.33,8895.83,8842.17,515639.0,395830.0,12.0,64.0,62.0,88.02,96.29,365.22,69.02
1,qh2-rcc1622018-10-0911:30:00,qh2-rcc162 ,2018-10-09 11:30:00,27.63,275.2,212369.84,818176.09,19.0,69.9,67.12,8935.5,8922.67,8911.0,8850.33,515639.0,395830.0,12.0,64.0,62.0,88.9,98.53,373.73,69.9
2,qh2-rcc1622018-10-0911:40:00,qh2-rcc162 ,2018-10-09 11:40:00,28.28,276.4,77611.78,769610.02,19.12,69.78,67.68,8944.83,8920.33,8914.5,8849.17,515639.0,395830.0,12.0,64.0,62.0,88.9,98.96,375.36,69.78
3,qh2-rcc1622018-10-0911:50:00,qh2-rcc162 ,2018-10-09 11:50:00,29.42,278.53,451578.62,593540.98,19.05,70.23,68.05,8986.83,8961.17,8960.0,8892.33,515639.0,395830.0,12.0,64.0,62.0,89.28,99.72,378.26,70.23
4,qh2-rcc1622018-10-0912:00:00,qh2-rcc162 ,2018-10-09 12:00:00,29.79,278.53,590997.23,732879.85,19.0,70.42,67.8,9030.0,9003.17,8997.33,8918.0,515639.0,395830.0,12.0,64.0,62.0,89.42,99.72,378.26,70.42
5,qh2-rcc1622018-10-0912:10:00,qh2-rcc162 ,2018-10-09 12:10:00,30.48,280.4,73974.02,741498.07,19.13,70.88,68.23,9038.17,9035.83,9026.5,8958.83,515639.0,395830.0,12.0,64.0,62.0,90.02,100.39,380.79,70.88
6,qh2-rcc1622018-10-0912:20:00,qh2-rcc162 ,2018-10-09 12:20:00,31.37,284.53,919433.35,921465.66,19.0,70.92,67.67,9105.83,9098.83,9075.5,9005.5,515639.0,395830.0,12.0,64.0,62.0,89.92,101.87,386.41,70.92
7,qh2-rcc1622018-10-0912:30:00,qh2-rcc162 ,2018-10-09 12:30:00,31.65,287.73,1338026.63,863860.22,19.13,71.55,67.28,9160.67,9136.17,9138.5,9048.67,515639.0,395830.0,12.0,64.0,62.0,90.68,103.02,390.75,71.55
8,qh2-rcc1622018-10-0912:40:00,qh2-rcc162 ,2018-10-09 12:40:00,30.04,280.27,77899.22,677352.58,19.0,70.52,68.45,8995.0,8962.33,8964.67,8888.83,515639.0,395830.0,12.0,64.0,62.0,89.52,100.35,380.61,70.52
9,qh2-rcc1622018-10-0912:50:00,qh2-rcc162 ,2018-10-09 12:50:00,29.84,284.13,379637.19,660856.94,19.1,70.23,68.57,8979.83,8954.17,8958.83,8894.67,515639.0,395830.0,12.0,64.0,62.0,89.33,101.73,385.86,70.23
10,qh2-rcc1622018-10-0913:00:00,qh2-rcc162 ,2018-10-09 13:00:00,23.24,262.53,439236.13,910951.07,19.0,67.47,61.93,8814.17,8806.0,8795.5,8729.0,515639.0,395830.0,12.0,64.0,62.0,86.47,94.0,356.53,67.47
11,qh2-rcc1622018-10-0913:10:00,qh2-rcc162 ,2018-10-09 13:10:00,19.45,249.07,195767.57,778479.42,19.1,64.85,55.4,8577.33,8577.33,8561.0,8488.67,515639.0,395830.0,12.0,64.0,62.0,83.95,89.17,338.24,64.85
12,qh2-rcc1622018-10-0913:20:00,qh2-rcc162 ,2018-10-09 13:20:00,19.61,248.8,246087.16,1322165.76,19.0,64.87,55.2,8671.83,8661.33,8669.5,8571.5,515639.0,395830.0,12.0,64.0,62.0,83.87,89.08,337.88,64.87
13,qh2-rcc1622018-10-0913:30:00,qh2-rcc162 ,2018-10-09 13:30:00,20.07,249.6,322615.07,821552.17,19.15,63.57,54.3,8923.83,8906.33,8912.17,8848.0,515639.0,395830.0,12.0,64.0,62.0,82.72,89.37,338.97,63.57
14,qh2-rcc1622018-10-0913:40:00,qh2-rcc162 ,2018-10-09 13:40:00,19.54,250.67,212209.93,834785.22,19.0,63.25,54.72,8936.67,8927.33,8919.17,8851.5,515639.0,395830.0,12.0,64.0,62.0,82.25,89.75,340.41,63.25
15,qh2-rcc1622018-10-0913:50:00,qh2-rcc162 ,2018-10-09 13:50:00,20.3,252.27,323484.03,820191.93,19.13,63.68,54.55,8890.0,8873.67,8866.67,8787.33,515639.0,395830.0,12.0,64.0,62.0,82.82,90.32,342.59,63.68
16,qh2-rcc1622018-10-0914:00:00,qh2-rcc162 ,2018-10-09 14:00:00,19.79,251.73,371797.82,1253014.35,19.0,63.82,54.67,8817.67,8802.5,8795.5,8713.83,515639.0,347970.88,12.0,64.0,62.0,82.82,90.13,341.86,63.82
17,qh2-rcc1622018-10-0914:10:00,qh2-rcc162 ,2018-10-09 14:10:00,24.47,283.87,91617.7,863699.0,19.12,67.4,61.5,8750.0,8761.67,8737.17,8685.83,515639.0,386062.83,12.0,64.0,62.0,86.52,101.63,385.5,67.4
18,qh2-rcc1622018-10-0914:20:00,qh2-rcc162 ,2018-10-09 14:20:00,25.0,289.47,56814.46,922742.44,19.3,69.05,62.28,8918.0,8911.0,8902.83,8811.83,515639.0,395830.0,12.0,64.0,62.0,88.35,103.64,393.11,69.05
19,qh2-rcc1622018-10-0914:30:00,qh2-rcc162 ,2018-10-09 14:30:00,24.83,287.33,73081.79,1310294.43,19.0,68.33,61.7,8907.5,8877.17,8877.17,8818.83,515639.0,395830.0,12.0,64.0,62.0,87.33,102.88,390.21,68.33
20,qh2-rcc1622018-10-0914:40:00,qh2-rcc162 ,2018-10-09 14:40:00,25.23,289.07,302573.78,1180347.99,19.22,68.77,61.9,8912.17,8898.17,8897.0,8830.5,515639.0,395830.0,12.0,64.0,62.0,87.98,103.5,392.56,68.77
21,qh2-rcc1622018-10-0914:50:00,qh2-rcc162 ,2018-10-09 14:50:00,24.69,288.67,336003.19,908507.61,19.0,69.05,61.92,8884.17,8866.67,8820.0,8776.83,515639.0,395830.0,12.0,64.0,62.0,88.05,103.35,392.02,69.05
