,Id,Series,Time,CPU_Load,Power,Network_RX,Network_TX,Inlet_Temperature,CPU1_Temperature,CPU2_Temperature,Fan_speed1,Fan_speed2,Fan_speed3,Fan_speed4,Ram,Ram_Used,No_Of_Running_vms,CPU_cores,CPU_cores_used,Ambient_Temperature,Cooling_Power,Total_Power,CPU_Temp_Max
0,qh2-rcc1602018-10-0911:20:00,qh2-rcc160 ,2018-10-09 11:20:00,21.3,240.53,338955.79,586216.96,19.0,62.1,53.28,8912.17,8919.17,8899.33,8843.33,515639.0,422454.0,8.0,64.0,57.0,81.1,86.12,326.65,62.1
1,qh2-rcc1602018-10-0911:30:00,qh2-rcc160 ,2018-10-09 11:30:00,19.49,236.0,135263.62,114108.35,19.0,60.03,52.52,8928.5,8919.17,8904.0,8849.17,515639.0,422454.0,8.0,64.0,57.0,79.03,84.49,320.49,60.03
2,qh2-rcc1602018-10-0911:40:00,qh2-rcc160 ,2018-10-09 11:40:00,19.8,236.8,2372145.19,332448.45,19.12,60.33,51.97,8943.67,8916.83,8915.67,8842.17,515639.0,422454.0,8.0,64.0,57.0,79.45,84.78,321.58,60.33
3,qh2-rcc1602018-10-0911:50:00,qh2-rcc160 ,2018-10-09 11:50:00,20.4,236.4,833278.93,537245.74,19.03,60.53,52.23,8984.5,8956.5,8963.5,8890.0,515639.0,422454.0,8.0,64.0,57.0,79.57,84.64,321.04,60.53
4,qh2-rcc1602018-10-0912:00:00,qh2-rcc160 ,2018-10-09 12:00:00,20.95,245.6,144265.48,281570.58,19.0,60.9,52.47,9016.0,8995.0,8995.0,8932.0,515639.0,422454.0,8.0,64.0,57.0,79.9,87.93,333.53,60.9
5,qh2-rcc1602018-10-0912:10:00,qh2-rcc160 ,2018-10-09 12:10:00,20.89,248.0,48381.26,131290.49,19.15,61.42,52.85,9047.5,9037.0,9027.67,8958.83,515639.0,422454.0,8.0,64.0,57.0,80.57,88.79,336.79,61.42
6,qh2-rcc1602018-10-0912:20:00,qh2-rcc160 ,2018-10-09 12:20:00,21.88,251.33,1209805.48,676728.67,19.0,61.43,52.52,9119.83,9101.17,9093.0,9005.5,515639.0,422454.0,8.0,64.0,57.0,80.43,89.98,341.32,61.43
7,qh2-rcc1602018-10-0912:30:00,qh2-rcc160 ,2018-10-09 12:30:00,22.43,254.0,760582.98,199733.54,19.15,61.87,53.18,9163.0,9140.83,9132.67,9059.17,515639.0,422454.0,8.0,64.0,57.0,81.02,90.94,344.94,61.87
8,qh2-rcc1602018-10-0912:40:00,qh2-rcc160 ,2018-10-09 12:40:00,21.04,247.47,92415.08,209890.68,19.0,61.23,52.82,8981.0,8974.0,8961.17,8898.17,515639.0,422454.0,8.0,64.0,57.0,80.23,88.6,336.07,61.23
9,qh2-rcc1602018-10-0912:50:00,qh2-rcc160 ,2018-10-09 12:50:00,20.15,244.4,221367.17,232521.44,19.1,60.77,52.87,8978.67,8954.17,8961.17,8892.33,515639.0,422454.0,8.0,64.0,57.0,79.87,87.5,331.9,60.77
10,qh2-rcc1602018-10-0913:00:00,qh2-rcc160 ,2018-10-09 13:00:00,19.68,247.87,157932.07,194628.22,19.0,61.48,53.22,8817.67,8811.83,8808.33,8741.83,515639.0,422454.0,8.0,64.0,57.0,80.48,88.74,336.61,61.48
11,qh2-rcc1602018-10-0913:10:00,qh2-rcc160 ,2018-10-09 13:10:00,18.99,243.2,120599.38,302517.5,19.12,61.57,52.97,8569.17,8563.33,8558.67,8501.5,515639.0,422454.0,8.0,64.0,57.0,80.68,87.07,330.27,61.57
12,qh2-rcc1602018-10-0913:20:00,qh2-rcc160 ,2018-10-09 13:20:00,16.47,241.73,162263.1,142390.23,19.0,58.95,50.38,8683.5,8664.83,8668.33,8563.33,515639.0,422454.0,8.0,64.0,57.0,77.95,86.55,328.28,58.95
13,qh2-rcc1602018-10-0913:30:00,qh2-rcc160 ,2018-10-09 13:30:00,16.91,244.4,153161.99,44077.05,19.13,58.45,50.68,8925.0,8914.5,8915.67,8848.0,515639.0,422454.0,8.0,64.0,57.0,77.58,87.5,331.9,58.45
