,Id,Series,Time,CPU_Load,Power,Network_RX,Network_TX,Inlet_Temperature,CPU1_Temperature,CPU2_Temperature,Fan_speed1,Fan_speed2,Fan_speed3,Fan_speed4,Ram,Ram_Used,No_Of_Running_vms,CPU_cores,CPU_cores_used,Ambient_Temperature,Cooling_Power,Total_Power,CPU_Temp_Max
0,qh2-rcc1672018-10-0911:20:00,qh2-rcc167 ,2018-10-09 11:20:00,0.48,81.6,170026.16,34197.3,17.5,34.83,31.58,8992.67,9058.0,9034.67,9009.0,515639.0,168502.0,5.0,64.0,34.0,52.33,32.83,114.43,34.83
1,qh2-rcc1672018-10-0911:30:00,qh2-rcc167 ,2018-10-09 11:30:00,0.87,80.13,30758.69,34495.93,17.0,35.02,31.27,8800.17,8879.5,8852.67,8845.67,515639.0,168502.0,5.0,64.0,34.0,52.02,32.24,112.38,35.02
2,qh2-rcc1672018-10-0911:40:00,qh2-rcc167 ,2018-10-09 11:40:00,0.63,80.93,32437.19,35580.21,17.17,35.0,31.23,8842.17,8897.0,8883.0,8864.33,515639.0,168502.0,5.0,64.0,34.0,52.17,32.56,113.5,35.0
3,qh2-rcc1672018-10-0911:50:00,qh2-rcc167 ,2018-10-09 11:50:00,0.76,80.27,191094.05,34327.11,17.13,35.07,31.62,8835.17,8895.83,8881.83,8871.33,515639.0,168502.0,5.0,64.0,34.0,52.2,32.3,112.56,35.07
4,qh2-rcc1672018-10-0912:00:00,qh2-rcc167 ,2018-10-09 12:00:00,0.73,81.33,156469.83,36242.91,17.0,35.12,31.72,8715.0,8754.67,8744.17,8720.83,515639.0,168502.0,5.0,64.0,34.0,52.12,32.72,114.06,35.12
5,qh2-rcc1672018-10-0912:10:00,qh2-rcc167 ,2018-10-09 12:10:00,0.76,81.07,31930.67,36819.47,17.15,35.1,31.85,8713.83,8775.67,8764.0,8750.0,515639.0,168502.0,5.0,64.0,34.0,52.25,32.62,113.68,35.1
6,qh2-rcc1672018-10-0912:20:00,qh2-rcc167 ,2018-10-09 12:20:00,0.85,80.4,30094.05,34523.19,17.0,34.9,31.18,8724.33,8776.83,8760.5,8740.67,515639.0,168502.0,5.0,64.0,34.0,51.9,32.35,112.75,34.9
7,qh2-rcc1672018-10-0912:30:00,qh2-rcc167 ,2018-10-09 12:30:00,0.92,82.13,176034.73,34356.11,17.22,35.52,31.53,8743.0,8795.5,8782.67,8765.17,515639.0,168502.0,5.0,64.0,34.0,52.73,33.05,115.18,35.52
8,qh2-rcc1672018-10-0912:40:00,qh2-rcc167 ,2018-10-09 12:40:00,0.85,80.13,32841.75,35550.42,17.0,35.25,31.18,8662.5,8734.83,8717.33,8697.5,515639.0,168502.0,5.0,64.0,34.0,52.25,32.24,112.38,35.25
9,qh2-rcc1672018-10-0912:50:00,qh2-rcc167 ,2018-10-09 12:50:00,0.87,80.0,171433.52,33508.13,17.1,35.22,31.97,8668.33,8724.33,8691.67,8694.0,515639.0,168502.0,5.0,64.0,34.0,52.32,32.19,112.19,35.22
10,qh2-rcc1672018-10-0913:00:00,qh2-rcc167 ,2018-10-09 13:00:00,0.77,80.8,169707.26,33726.59,17.0,34.98,31.65,8632.17,8699.83,8666.0,8668.33,515639.0,168502.0,5.0,64.0,34.0,51.98,32.51,113.31,34.98
