,Id,Series,Time,CPU_Load,Power,Network_RX,Network_TX,Inlet_Temperature,CPU1_Temperature,CPU2_Temperature,Fan_speed1,Fan_speed2,Fan_speed3,Fan_speed4,Ram,Ram_Used,No_Of_Running_vms,CPU_cores,CPU_cores_used,Ambient_Temperature,Cooling_Power,Total_Power,CPU_Temp_Max
0,qh2-rcc1402018-10-0911:20:00,qh2-rcc140 ,2018-10-09 11:20:00,6.14,165.6,13306331.54,17383580.94,17.07,49.93,44.25,9027.67,9111.67,9058.0,9065.0,515895.0,121398.0,8.0,64.0,24.0,67.0,54.26,219.86,49.93
1,qh2-rcc1402018-10-0911:30:00,qh2-rcc140 ,2018-10-09 11:30:00,3.3,145.87,46483.87,303125.49,17.0,45.95,42.88,8927.33,9002.0,8967.0,8960.0,515895.0,121398.0,8.0,64.0,24.0,62.95,47.8,193.66,45.95
2,qh2-rcc1402018-10-0911:40:00,qh2-rcc140 ,2018-10-09 11:40:00,2.99,145.87,24587.16,56905.78,17.1,45.65,43.18,8950.67,9006.67,8982.17,8984.5,515895.0,121398.0,8.0,64.0,24.0,62.75,47.8,193.66,45.65
3,qh2-rcc1402018-10-0911:50:00,qh2-rcc140 ,2018-10-09 11:50:00,2.92,143.07,185598.17,62021.66,17.07,45.63,42.7,8828.17,8879.5,8851.5,8891.17,515895.0,121398.0,8.0,64.0,24.0,62.7,46.88,189.95,45.63
4,qh2-rcc1402018-10-0912:00:00,qh2-rcc140 ,2018-10-09 12:00:00,2.75,143.73,156132.96,56747.3,17.0,45.52,42.95,8926.17,8974.0,8958.83,8957.67,515895.0,121398.0,8.0,64.0,24.0,62.52,47.1,190.83,45.52
5,qh2-rcc1402018-10-0912:10:00,qh2-rcc140 ,2018-10-09 12:10:00,3.24,143.87,25176.57,61751.71,17.12,45.32,42.75,9056.83,9109.33,9086.0,9087.17,515895.0,121398.0,8.0,64.0,24.0,62.43,47.14,191.01,45.32
6,qh2-rcc1402018-10-0912:20:00,qh2-rcc140 ,2018-10-09 12:20:00,2.84,144.67,26444.37,61050.06,17.0,45.3,43.07,9044.0,9122.17,9075.5,9074.33,515895.0,121398.0,8.0,64.0,24.0,62.3,47.4,192.07,45.3
7,qh2-rcc1402018-10-0912:30:00,qh2-rcc140 ,2018-10-09 12:30:00,2.95,144.27,174882.23,59372.95,17.15,45.73,43.18,8953.0,9006.67,8970.5,8977.5,515895.0,121398.0,8.0,64.0,24.0,62.88,47.27,191.54,45.73
8,qh2-rcc1402018-10-0912:40:00,qh2-rcc140 ,2018-10-09 12:40:00,2.87,142.8,27219.52,60782.53,17.0,45.7,42.88,8904.0,8954.17,8934.33,8930.83,515895.0,121398.0,8.0,64.0,24.0,62.7,46.79,189.59,45.7
9,qh2-rcc1402018-10-0912:50:00,qh2-rcc140 ,2018-10-09 12:50:00,2.96,142.93,295537.6,828597.23,17.12,45.75,42.98,8785.0,8844.5,8818.83,8823.5,515895.0,121398.0,8.0,64.0,24.0,62.87,46.84,189.77,45.75
10,qh2-rcc1402018-10-0913:00:00,qh2-rcc140 ,2018-10-09 13:00:00,2.98,144.4,166575.15,71760.32,17.0,46.22,43.17,8741.83,8806.0,8771.0,8789.67,515895.0,121398.0,8.0,64.0,24.0,63.22,47.32,191.72,46.22
11,qh2-rcc1402018-10-0913:10:00,qh2-rcc140 ,2018-10-09 13:10:00,2.91,142.13,66532.82,61863.31,17.02,46.25,43.77,8270.5,8326.5,8298.5,8291.5,515895.0,121398.0,8.0,64.0,24.0,63.27,46.57,188.71,46.25
12,qh2-rcc1402018-10-0913:20:00,qh2-rcc140 ,2018-10-09 13:20:00,3.13,142.93,125956.49,61691.63,17.0,46.93,43.92,8194.67,8264.67,8233.17,8235.5,515895.0,121398.0,8.0,64.0,24.0,63.93,46.84,189.77,46.93
13,qh2-rcc1402018-10-0913:30:00,qh2-rcc140 ,2018-10-09 13:30:00,2.92,143.2,186125.95,57863.7,17.1,47.6,43.98,8174.83,8256.5,8211.0,8221.5,515895.0,121398.0,8.0,64.0,24.0,64.7,46.92,190.12,47.6
14,qh2-rcc1402018-10-0913:40:00,qh2-rcc140 ,2018-10-09 13:40:00,2.96,144.4,24429.99,56807.48,17.0,46.92,44.0,8251.83,8314.83,8285.67,8303.17,515895.0,121398.0,8.0,64.0,24.0,63.92,47.32,191.72,46.92
15,qh2-rcc1402018-10-0913:50:00,qh2-rcc140 ,2018-10-09 13:50:00,3.21,143.73,177888.92,62545.39,17.1,46.95,44.22,8206.33,8277.5,8247.17,8244.83,515895.0,121398.0,8.0,64.0,24.0,64.05,47.1,190.83,46.95
16,qh2-rcc1402018-10-0914:00:00,qh2-rcc140 ,2018-10-09 14:00:00,2.87,143.87,169381.76,68191.77,16.93,46.8,43.98,8318.33,8402.33,8358.0,8352.17,515895.0,121398.0,8.0,64.0,24.0,63.73,47.14,191.01,46.8
17,qh2-rcc1402018-10-0914:10:00,qh2-rcc140 ,2018-10-09 14:10:00,3.05,143.6,26481.19,68119.04,17.05,46.85,43.98,8264.67,8342.83,8310.17,8297.33,515895.0,121398.0,8.0,64.0,24.0,63.9,47.06,190.66,46.85
18,qh2-rcc1402018-10-0914:20:00,qh2-rcc140 ,2018-10-09 14:20:00,2.8,142.27,26832.58,61425.93,17.1,47.08,44.43,8188.83,8251.83,8251.83,8235.5,515895.0,121398.0,8.0,64.0,24.0,64.18,46.62,188.89,47.08
19,qh2-rcc1402018-10-0914:30:00,qh2-rcc140 ,2018-10-09 14:30:00,3.0,143.73,25011.59,64670.0,17.0,46.55,43.85,8312.5,8380.17,8349.83,8354.5,515895.0,121398.0,8.0,64.0,24.0,63.55,47.1,190.83,46.55
20,qh2-rcc1402018-10-0914:40:00,qh2-rcc140 ,2018-10-09 14:40:00,3.12,142.67,157860.9,56825.29,17.72,46.93,44.52,8415.17,8512.0,8463.0,8446.67,515895.0,121398.0,8.0,64.0,24.0,64.65,46.75,189.42,46.93
21,qh2-rcc1402018-10-0914:50:00,qh2-rcc140 ,2018-10-09 14:50:00,2.91,144.4,184878.38,59182.3,17.02,48.12,45.17,8328.83,8386.0,8355.67,8361.5,515895.0,121398.0,8.0,64.0,24.0,65.13,47.32,191.72,48.12
22,qh2-rcc1402018-10-0915:00:00,qh2-rcc140 ,2018-10-09 15:00:00,2.93,143.73,125295.54,59766.7,17.62,48.07,44.92,8305.5,8376.67,8360.33,8338.17,515895.0,121398.0,8.0,64.0,24.0,65.68,47.1,190.83,48.07
23,qh2-rcc1402018-10-0915:10:00,qh2-rcc140 ,2018-10-09 15:10:00,3.0,146.27,82670.97,61615.94,17.52,48.17,45.13,8549.33,8645.0,8614.67,8601.83,515895.0,121398.0,8.0,64.0,24.0,65.68,47.93,194.2,48.17
24,qh2-rcc1402018-10-0915:20:00,qh2-rcc140 ,2018-10-09 15:20:00,3.27,144.0,182883.74,62078.19,17.97,47.12,44.1,8996.17,9069.67,9031.17,9034.67,515895.0,121398.0,8.0,64.0,24.0,65.08,47.19,191.19,47.12
25,qh2-rcc1402018-10-0915:30:00,qh2-rcc140 ,2018-10-09 15:30:00,3.0,144.13,188194.85,59641.35,17.45,46.95,44.08,8808.33,8872.5,8849.17,8853.83,515895.0,121398.0,8.0,64.0,24.0,64.4,47.23,191.36,46.95
26,qh2-rcc1402018-10-0915:40:00,qh2-rcc140 ,2018-10-09 15:40:00,3.24,143.6,172363.8,60697.08,17.68,45.98,43.53,8858.5,8904.0,8883.0,8878.33,515895.0,121398.0,8.0,64.0,24.0,63.67,47.06,190.66,45.98
27,qh2-rcc1402018-10-0915:50:00,qh2-rcc140 ,2018-10-09 15:50:00,3.05,143.6,26410.17,60132.58,17.45,45.85,43.5,8986.83,9066.17,9019.5,9016.0,515895.0,121398.0,8.0,64.0,24.0,63.3,47.06,190.66,45.85
28,qh2-rcc1402018-10-0916:00:00,qh2-rcc140 ,2018-10-09 16:00:00,3.09,144.53,165721.66,61314.62,17.0,45.23,43.07,9172.33,9243.5,9222.5,9196.83,515895.0,121398.0,8.0,64.0,24.0,62.23,47.36,191.89,45.23
29,qh2-rcc1402018-10-0916:10:00,qh2-rcc140 ,2018-10-09 16:10:00,2.99,145.87,24979.82,60349.41,17.0,45.65,43.38,9044.0,9109.33,9089.5,9086.0,515895.0,121398.0,8.0,64.0,24.0,62.65,47.8,193.66,45.65
30,qh2-rcc1402018-10-0916:20:00,qh2-rcc140 ,2018-10-09 16:20:00,2.98,144.13,166271.2,61083.04,17.0,45.62,43.03,9018.33,9076.67,9047.5,9056.83,515895.0,121398.0,8.0,64.0,24.0,62.62,47.23,191.36,45.62
31,qh2-rcc1402018-10-0916:30:00,qh2-rcc140 ,2018-10-09 16:30:00,2.84,144.4,172134.53,57085.04,17.0,45.75,43.27,9035.83,9076.67,9059.17,9054.5,515895.0,121398.0,8.0,64.0,24.0,62.75,47.32,191.72,45.75
32,qh2-rcc1402018-10-0916:40:00,qh2-rcc140 ,2018-10-09 16:40:00,2.95,144.0,175943.19,70215.96,17.0,45.2,42.7,9101.17,9163.0,9140.83,9137.33,515895.0,121398.0,8.0,64.0,24.0,62.2,47.19,191.19,45.2
33,qh2-rcc1402018-10-0916:50:00,qh2-rcc140 ,2018-10-09 16:50:00,2.96,143.87,39385.99,58781.04,17.02,45.75,43.23,8843.33,8893.5,8886.5,8884.17,515895.0,121398.0,8.0,64.0,24.0,62.77,47.14,191.01,45.75
34,qh2-rcc1402018-10-0917:00:00,qh2-rcc140 ,2018-10-09 17:00:00,2.98,144.13,183592.4,55971.99,17.0,45.58,43.37,8867.83,8915.67,8899.33,8883.0,515895.0,68660.93,8.0,64.0,24.0,62.58,47.23,191.36,45.58
35,qh2-rcc1402018-10-0917:10:00,qh2-rcc140 ,2018-10-09 17:10:00,3.02,142.8,287922.9,711357.66,17.0,45.63,43.58,8771.0,8828.17,8818.83,8806.0,515895.0,109559.07,8.0,64.0,24.0,62.63,46.79,189.59,45.63
36,qh2-rcc1402018-10-0917:20:00,qh2-rcc140 ,2018-10-09 17:20:00,3.11,142.93,26908.77,117138.75,17.0,45.32,43.02,8971.67,9024.17,8996.17,8993.83,515895.0,121398.0,8.0,64.0,24.0,62.32,46.84,189.77,45.32
37,qh2-rcc1402018-10-0917:30:00,qh2-rcc140 ,2018-10-09 17:30:00,2.78,143.73,175870.38,56053.6,17.12,45.58,43.45,8920.33,8995.0,8976.33,8972.83,515895.0,67645.5,8.0,64.0,24.0,62.7,47.1,190.83,45.58
38,qh2-rcc1402018-10-0917:40:00,qh2-rcc140 ,2018-10-09 17:40:00,3.08,144.8,24276.95,60748.65,17.0,46.03,43.72,8827.0,8867.83,8849.17,8839.83,515895.0,109572.45,8.0,64.0,24.0,63.03,47.45,192.25,46.03
39,qh2-rcc1402018-10-0917:50:00,qh2-rcc140 ,2018-10-09 17:50:00,3.14,143.47,304120.97,124164.58,17.0,45.6,43.28,8843.33,8898.17,8874.83,8870.17,515895.0,121398.0,8.0,64.0,24.0,62.6,47.01,190.48,45.6
40,qh2-rcc1402018-10-0918:00:00,qh2-rcc140 ,2018-10-09 18:00:00,2.96,144.0,24517.58,58791.56,17.0,45.53,43.42,8885.33,8927.33,8922.67,8909.83,515895.0,121398.0,8.0,64.0,24.0,62.53,47.19,191.19,45.53
41,qh2-rcc1402018-10-0918:10:00,qh2-rcc140 ,2018-10-09 18:10:00,2.98,142.93,176556.42,61444.63,17.0,45.37,43.25,8844.5,8909.83,8898.17,8897.0,515895.0,121398.0,8.0,64.0,24.0,62.37,46.84,189.77,45.37
42,qh2-rcc1402018-10-0918:20:00,qh2-rcc140 ,2018-10-09 18:20:00,2.95,144.27,27128.32,59244.55,17.0,45.65,43.57,8741.83,8781.5,8771.0,8774.5,515895.0,121398.0,8.0,64.0,24.0,62.65,47.27,191.54,45.65
43,qh2-rcc1402018-10-0918:30:00,qh2-rcc140 ,2018-10-09 18:30:00,3.0,143.07,232155.09,85708.86,17.02,45.37,43.42,8880.67,8927.33,8902.83,8897.0,515895.0,121398.0,8.0,64.0,24.0,62.38,46.88,189.95,45.37
44,qh2-rcc1402018-10-0918:40:00,qh2-rcc140 ,2018-10-09 18:40:00,2.79,140.4,24230.05,58336.85,17.0,44.58,42.57,8901.67,8964.67,8943.67,8943.67,515895.0,121398.0,8.0,64.0,24.0,61.58,46.01,186.41,44.58
45,qh2-rcc1402018-10-0918:50:00,qh2-rcc140 ,2018-10-09 18:50:00,2.72,144.0,183126.07,59600.54,17.03,45.6,43.13,8832.83,8919.17,8898.17,8894.67,515895.0,121398.0,8.0,64.0,24.0,62.63,47.19,191.19,45.6
46,qh2-rcc1402018-10-0919:00:00,qh2-rcc140 ,2018-10-09 19:00:00,3.0,144.4,191604.03,69384.38,17.0,45.45,43.0,8895.83,8948.33,8916.83,8923.83,515895.0,121398.0,8.0,64.0,24.0,62.45,47.32,191.72,45.45
47,qh2-rcc1402018-10-0919:10:00,qh2-rcc140 ,2018-10-09 19:10:00,2.7,143.6,25156.33,63704.89,17.0,45.78,43.2,8919.17,8968.17,8941.33,8930.83,515895.0,121398.0,8.0,64.0,24.0,62.78,47.06,190.66,45.78
48,qh2-rcc1402018-10-0919:20:00,qh2-rcc140 ,2018-10-09 19:20:00,2.89,143.07,169676.89,60084.88,17.0,45.65,43.32,8814.17,8859.67,8849.17,8846.83,515895.0,121398.0,8.0,64.0,24.0,62.65,46.88,189.95,45.65
49,qh2-rcc1402018-10-0919:30:00,qh2-rcc140 ,2018-10-09 19:30:00,3.0,143.47,171993.99,55651.82,17.08,45.52,43.07,8914.5,8963.5,8946.0,8951.83,515895.0,121398.0,8.0,64.0,24.0,62.6,47.01,190.48,45.52
50,qh2-rcc1402018-10-0919:40:00,qh2-rcc140 ,2018-10-09 19:40:00,2.99,143.73,165570.12,56325.18,17.0,45.9,43.38,8783.83,8850.33,8846.83,8822.33,515895.0,121398.0,8.0,64.0,24.0,62.9,47.1,190.83,45.9
51,qh2-rcc1402018-10-0919:50:00,qh2-rcc140 ,2018-10-09 19:50:00,2.89,144.0,164315.41,60978.34,17.1,45.63,43.02,8859.67,8904.0,8883.0,8888.83,515895.0,121398.0,8.0,64.0,24.0,62.73,47.19,191.19,45.63
52,qh2-rcc1402018-10-0920:00:00,qh2-rcc140 ,2018-10-09 20:00:00,3.04,144.27,121537.38,61586.75,17.0,45.37,42.97,8982.17,9061.5,9020.67,9023.0,515895.0,121398.0,8.0,64.0,24.0,62.37,47.27,191.54,45.37
