,Id,Series,Time,CPU_Load,Power,Network_RX,Network_TX,Inlet_Temperature,CPU1_Temperature,CPU2_Temperature,Fan_speed1,Fan_speed2,Fan_speed3,Fan_speed4,Ram,Ram_Used,No_Of_Running_vms,CPU_cores,CPU_cores_used,Ambient_Temperature,Cooling_Power,Total_Power,CPU_Temp_Max
0,qh2-rcc1482018-10-0911:20:00,qh2-rcc148 ,2018-10-09 11:20:00,21.35,257.87,1699429.09,12396274.66,18.65,64.25,58.07,9608.67,9481.5,9518.83,9573.67,515639.0,379446.0,9.0,64.0,64.0,82.9,148.33,406.2,64.25
1,qh2-rcc1482018-10-0911:30:00,qh2-rcc148 ,2018-10-09 11:30:00,21.42,267.6,702616.95,7703806.8,18.42,65.38,59.02,9558.5,9459.33,9478.0,9525.83,515639.0,379446.0,9.0,64.0,64.0,83.8,153.93,421.53,65.38
2,qh2-rcc1482018-10-0911:40:00,qh2-rcc148 ,2018-10-09 11:40:00,23.45,275.6,693740.09,10385109.61,18.72,65.55,60.35,9641.33,9492.0,9501.33,9563.17,515639.0,379446.0,9.0,64.0,64.0,84.27,158.53,434.13,65.55
3,qh2-rcc1482018-10-0911:50:00,qh2-rcc148 ,2018-10-09 11:50:00,21.0,256.4,1654678.92,12322896.44,18.82,64.28,57.32,9552.67,9461.67,9485.0,9518.83,515639.0,379446.0,9.0,64.0,64.0,83.1,147.49,403.89,64.28
4,qh2-rcc1482018-10-0912:00:00,qh2-rcc148 ,2018-10-09 12:00:00,21.84,274.13,884080.91,8406205.4,18.83,66.0,59.97,9578.33,9480.33,9503.67,9550.33,515639.0,379446.0,9.0,64.0,64.0,84.83,157.69,431.82,66.0
5,qh2-rcc1482018-10-0912:10:00,qh2-rcc148 ,2018-10-09 12:10:00,22.93,280.93,696065.76,10444527.46,18.77,66.22,60.47,9626.17,9517.67,9532.83,9593.5,515639.0,379446.0,9.0,64.0,64.0,84.98,161.6,442.53,66.22
6,qh2-rcc1482018-10-0912:20:00,qh2-rcc148 ,2018-10-09 12:20:00,20.8,267.47,1399238.46,11450272.86,18.85,64.67,57.32,9576.0,9479.17,9496.67,9537.5,515639.0,379446.0,9.0,64.0,64.0,83.52,153.85,421.32,64.67
7,qh2-rcc1482018-10-0912:30:00,qh2-rcc148 ,2018-10-09 12:30:00,21.87,281.87,954579.32,9437302.57,19.03,66.37,59.62,9620.33,9472.17,9515.33,9572.5,515639.0,379446.0,9.0,64.0,64.0,85.4,162.14,444.0,66.37
8,qh2-rcc1482018-10-0912:40:00,qh2-rcc148 ,2018-10-09 12:40:00,23.62,292.93,798660.54,11838280.48,18.78,66.38,60.95,9597.0,9459.33,9508.33,9558.5,515639.0,379446.0,9.0,64.0,64.0,85.17,168.5,461.44,66.38
9,qh2-rcc1482018-10-0912:50:00,qh2-rcc148 ,2018-10-09 12:50:00,20.83,270.8,1402827.84,8851555.56,19.0,65.02,57.2,9520.0,9424.33,9466.33,9487.33,515639.0,379446.0,9.0,64.0,64.0,84.02,155.77,426.57,65.02
