,Id,Series,Time,CPU_Load,Power,Network_RX,Network_TX,Inlet_Temperature,CPU1_Temperature,CPU2_Temperature,Fan_speed1,Fan_speed2,Fan_speed3,Fan_speed4,Ram,Ram_Used,No_Of_Running_vms,CPU_cores,CPU_cores_used,Ambient_Temperature,Cooling_Power,Total_Power,CPU_Temp_Max
0,qh2-rcc1442018-10-0911:20:00,qh2-rcc144 ,2018-10-09 11:20:00,9.75,160.93,427368.7,285213.55,18.75,47.92,48.08,9584.17,9620.33,9671.67,9593.5,515639.0,293430.0,15.0,64.0,59.0,66.83,59.73,220.66,48.08
1,qh2-rcc1442018-10-0911:30:00,qh2-rcc144 ,2018-10-09 11:30:00,10.75,158.93,337318.4,757495.61,18.0,47.38,47.08,9597.0,9623.83,9651.83,9560.83,515639.0,293430.0,15.0,64.0,59.0,65.38,58.99,217.92,47.38
2,qh2-rcc1442018-10-0911:40:00,qh2-rcc144 ,2018-10-09 11:40:00,9.67,160.0,3817118.16,4168997.46,18.43,47.57,47.35,9591.17,9627.33,9633.17,9605.17,515639.0,293430.0,15.0,64.0,59.0,66.0,59.39,219.39,47.57
3,qh2-rcc1442018-10-0911:50:00,qh2-rcc144 ,2018-10-09 11:50:00,10.03,160.0,555563.52,337942.24,18.23,47.73,47.65,9527.0,9570.17,9588.83,9539.83,515639.0,293430.0,15.0,64.0,59.0,65.97,59.39,219.39,47.73
4,qh2-rcc1442018-10-0912:00:00,qh2-rcc144 ,2018-10-09 12:00:00,9.91,160.0,21823825.92,3122908.8,18.53,47.83,48.25,9448.83,9471.0,9471.0,9448.83,515639.0,293430.0,15.0,64.0,59.0,66.78,59.39,219.39,48.25
5,qh2-rcc1442018-10-0912:10:00,qh2-rcc144 ,2018-10-09 12:10:00,9.96,161.47,66748.04,4945949.85,18.6,47.95,48.5,9445.33,9487.33,9489.67,9461.67,515639.0,293430.0,15.0,64.0,59.0,67.1,59.93,221.4,48.5
6,qh2-rcc1442018-10-0912:20:00,qh2-rcc144 ,2018-10-09 12:20:00,9.7,160.27,56520.37,189557.8,18.17,48.12,48.68,9433.67,9466.33,9485.0,9443.0,515639.0,293430.0,15.0,64.0,59.0,66.85,59.48,219.75,48.68
7,qh2-rcc1442018-10-0912:30:00,qh2-rcc144 ,2018-10-09 12:30:00,9.64,159.2,675879.19,568977.92,18.65,48.07,48.28,9406.83,9430.17,9434.83,9410.33,515639.0,293430.0,15.0,64.0,59.0,66.93,59.09,218.29,48.28
8,qh2-rcc1442018-10-0912:40:00,qh2-rcc144 ,2018-10-09 12:40:00,9.91,152.0,3895757.22,4155155.68,18.03,46.97,46.03,9459.33,9475.67,9483.83,9455.83,515639.0,293430.0,15.0,64.0,59.0,65.0,56.42,208.42,46.97
9,qh2-rcc1442018-10-0912:50:00,qh2-rcc144 ,2018-10-09 12:50:00,9.41,152.0,415521.71,268393.54,18.38,46.78,46.02,9416.17,9423.17,9447.67,9409.17,515639.0,293430.0,15.0,64.0,59.0,65.17,56.42,208.42,46.78
