,Id,Series,Time,CPU_Load,Power,Network_RX,Network_TX,Inlet_Temperature,CPU1_Temperature,CPU2_Temperature,Fan_speed1,Fan_speed2,Fan_speed3,Fan_speed4,Ram,Ram_Used,No_Of_Running_vms,CPU_cores,CPU_cores_used,Ambient_Temperature,Cooling_Power,Total_Power,CPU_Temp_Max
0,qh2-rcc1472018-10-0911:20:00,qh2-rcc147 ,2018-10-09 11:20:00,22.52,249.47,1554370.61,1668881.97,18.75,64.68,59.22,9597.0,9629.67,9648.33,9597.0,515639.0,481846.0,9.0,64.0,64.0,83.43,92.6,342.06,64.68
1,qh2-rcc1472018-10-0911:30:00,qh2-rcc147 ,2018-10-09 11:30:00,22.84,254.27,533092.28,684451.52,18.0,64.55,59.2,9597.0,9630.83,9637.83,9587.67,515639.0,481846.0,9.0,64.0,64.0,82.55,94.38,348.65,64.55
2,qh2-rcc1472018-10-0911:40:00,qh2-rcc147 ,2018-10-09 11:40:00,23.33,256.0,942099.11,1401144.37,18.42,65.18,60.3,9586.5,9633.17,9639.0,9600.5,515639.0,481846.0,9.0,64.0,64.0,83.6,95.02,351.02,65.18
3,qh2-rcc1472018-10-0911:50:00,qh2-rcc147 ,2018-10-09 11:50:00,22.97,252.27,1537462.13,1637069.19,18.3,65.1,59.57,9516.5,9570.17,9597.0,9546.83,515639.0,481846.0,9.0,64.0,64.0,83.4,93.64,345.9,65.1
4,qh2-rcc1472018-10-0912:00:00,qh2-rcc147 ,2018-10-09 12:00:00,23.65,269.87,810508.12,971375.62,18.53,66.82,61.48,9441.83,9457.0,9479.17,9443.0,515639.0,481846.0,9.0,64.0,64.0,85.35,100.17,370.04,66.82
5,qh2-rcc1472018-10-0912:10:00,qh2-rcc147 ,2018-10-09 12:10:00,23.46,270.13,691724.42,1018622.73,18.58,67.2,61.87,9452.33,9481.5,9493.17,9452.33,515639.0,481846.0,9.0,64.0,64.0,85.78,100.27,370.4,67.2
6,qh2-rcc1472018-10-0912:20:00,qh2-rcc147 ,2018-10-09 12:20:00,22.27,260.93,1122739.28,1462915.34,18.18,65.8,60.03,9434.83,9454.67,9488.5,9444.17,515639.0,481846.0,9.0,64.0,64.0,83.98,96.85,357.79,65.8
7,qh2-rcc1472018-10-0912:30:00,qh2-rcc147 ,2018-10-09 12:30:00,23.56,269.2,792929.99,1086830.63,18.63,67.4,61.78,9411.5,9425.5,9439.5,9430.17,515639.0,481846.0,9.0,64.0,64.0,86.03,99.92,369.12,67.4
8,qh2-rcc1472018-10-0912:40:00,qh2-rcc147 ,2018-10-09 12:40:00,23.16,265.87,427383.11,866381.32,18.05,66.28,61.07,9447.67,9476.83,9479.17,9459.33,515639.0,481846.0,9.0,64.0,64.0,84.33,98.69,364.55,66.28
9,qh2-rcc1472018-10-0912:50:00,qh2-rcc147 ,2018-10-09 12:50:00,22.59,260.13,1207924.79,1287277.99,18.42,65.35,60.4,9411.5,9427.83,9446.5,9408.0,515639.0,481846.0,9.0,64.0,64.0,83.77,96.56,356.69,65.35
10,qh2-rcc1472018-10-0913:00:00,qh2-rcc147 ,2018-10-09 13:00:00,22.31,263.73,1077154.1,1313662.59,18.0,65.72,62.53,9291.33,9325.17,9327.5,9292.5,515639.0,481846.0,9.0,64.0,64.0,83.72,97.89,361.63,65.72
11,qh2-rcc1472018-10-0913:10:00,qh2-rcc147 ,2018-10-09 13:10:00,20.44,255.07,720265.59,1184791.02,18.13,65.2,61.2,9073.17,9104.67,9143.17,9060.33,515639.0,481846.0,9.0,64.0,64.0,83.33,94.68,349.74,65.2
12,qh2-rcc1472018-10-0913:20:00,qh2-rcc147 ,2018-10-09 13:20:00,13.05,217.2,461908.92,464173.69,18.0,58.42,51.0,9128.0,9147.83,9184.0,9132.67,515639.0,481846.0,9.0,64.0,64.0,76.42,80.62,297.82,58.42
13,qh2-rcc1472018-10-0913:30:00,qh2-rcc147 ,2018-10-09 13:30:00,12.93,217.47,513453.16,538443.89,18.22,59.0,50.9,9126.83,9166.5,9194.5,9150.17,515639.0,481846.0,9.0,64.0,64.0,77.22,80.72,298.19,59.0
14,qh2-rcc1472018-10-0913:40:00,qh2-rcc147 ,2018-10-09 13:40:00,12.9,217.47,327929.48,543396.31,18.0,58.17,50.62,9181.67,9199.17,9242.33,9179.33,515639.0,481846.0,9.0,64.0,64.0,76.17,80.72,298.19,58.17
15,qh2-rcc1472018-10-0913:50:00,qh2-rcc147 ,2018-10-09 13:50:00,12.83,216.53,480785.37,307026.78,18.13,57.78,50.85,9114.0,9160.67,9178.17,9126.83,515639.0,481846.0,9.0,64.0,64.0,75.92,80.37,296.91,57.78
16,qh2-rcc1472018-10-0914:00:00,qh2-rcc147 ,2018-10-09 14:00:00,12.86,219.33,533305.75,625365.35,18.0,58.3,50.52,9170.0,9215.5,9233.0,9179.33,515639.0,481846.0,9.0,64.0,64.0,76.3,81.41,300.75,58.3
17,qh2-rcc1472018-10-0914:10:00,qh2-rcc147 ,2018-10-09 14:10:00,12.88,216.13,341413.57,682899.02,18.1,58.47,50.65,9125.67,9173.5,9164.17,9126.83,515639.0,481846.0,9.0,64.0,64.0,76.57,80.23,296.36,58.47
18,qh2-rcc1472018-10-0914:20:00,qh2-rcc147 ,2018-10-09 14:20:00,12.47,216.67,352869.28,522042.53,18.4,58.5,50.78,9186.33,9209.67,9243.5,9175.83,515639.0,481846.0,9.0,64.0,64.0,76.9,80.42,297.09,58.5
19,qh2-rcc1472018-10-0914:30:00,qh2-rcc147 ,2018-10-09 14:30:00,16.11,238.4,399753.38,741152.48,18.0,60.5,55.35,9088.33,9104.67,9149.0,9097.67,515639.0,481846.0,9.0,64.0,64.0,78.5,88.49,326.89,60.5
20,qh2-rcc1472018-10-0914:40:00,qh2-rcc147 ,2018-10-09 14:40:00,20.49,264.13,514863.09,855972.79,18.87,66.37,62.97,9203.83,9233.0,9258.67,9210.83,515639.0,481846.0,9.0,64.0,64.0,85.23,98.04,362.18,66.37
21,qh2-rcc1472018-10-0914:50:00,qh2-rcc147 ,2018-10-09 14:50:00,20.36,261.47,545377.43,573101.62,18.25,66.15,61.98,9255.17,9301.83,9301.83,9271.5,515639.0,481846.0,9.0,64.0,64.0,84.4,97.05,358.52,66.15
22,qh2-rcc1472018-10-0915:00:00,qh2-rcc147 ,2018-10-09 15:00:00,20.81,260.53,862595.0,3655927.83,18.82,65.55,61.4,9280.83,9325.17,9338.0,9297.17,515639.0,481846.0,9.0,64.0,64.0,84.37,96.71,357.24,65.55
23,qh2-rcc1472018-10-0915:10:00,qh2-rcc147 ,2018-10-09 15:10:00,20.78,269.47,179555.77,855914.08,18.73,65.67,62.6,9325.17,9345.0,9356.67,9321.67,515639.0,481846.0,9.0,64.0,64.0,84.4,100.02,369.49,65.67
24,qh2-rcc1472018-10-0915:20:00,qh2-rcc147 ,2018-10-09 15:20:00,15.39,228.27,520794.79,1091533.92,19.03,62.28,54.92,9227.17,9251.67,9271.5,9237.67,515639.0,481846.0,9.0,64.0,64.0,81.32,84.73,313.0,62.28
25,qh2-rcc1472018-10-0915:30:00,qh2-rcc147 ,2018-10-09 15:30:00,14.61,224.0,566192.55,1735385.38,18.9,60.35,53.55,9258.67,9298.33,9305.33,9270.33,515639.0,481846.0,9.0,64.0,64.0,79.25,83.15,307.15,60.35
26,qh2-rcc1472018-10-0915:40:00,qh2-rcc147 ,2018-10-09 15:40:00,20.24,262.8,258818.09,560688.4,18.98,64.68,61.55,9342.67,9371.83,9395.17,9356.67,515639.0,481846.0,9.0,64.0,64.0,83.67,97.55,360.35,64.68
27,qh2-rcc1472018-10-0915:50:00,qh2-rcc147 ,2018-10-09 15:50:00,23.35,282.93,2634375.24,1033403.34,18.93,69.47,63.13,9290.17,9305.33,9321.67,9278.5,515639.0,481846.0,9.0,64.0,64.0,88.4,105.02,387.95,69.47
28,qh2-rcc1472018-10-0916:00:00,qh2-rcc147 ,2018-10-09 16:00:00,23.43,283.2,1214730.36,817871.72,18.42,70.3,61.9,9237.67,9268.0,9284.33,9235.33,515639.0,481846.0,9.0,64.0,64.0,88.72,105.12,388.32,70.3
29,qh2-rcc1472018-10-0916:10:00,qh2-rcc147 ,2018-10-09 16:10:00,16.38,239.6,829223.56,944106.73,18.22,64.52,51.4,9192.17,9237.67,9266.83,9208.5,515639.0,481846.0,9.0,64.0,64.0,82.73,88.94,328.54,64.52
30,qh2-rcc1472018-10-0916:20:00,qh2-rcc147 ,2018-10-09 16:20:00,17.2,245.33,1536713.13,239177.08,18.0,64.48,51.85,9273.83,9297.17,9322.83,9261.0,515639.0,481846.0,9.0,64.0,64.0,82.48,91.06,336.4,64.48
31,qh2-rcc1472018-10-0916:30:00,qh2-rcc147 ,2018-10-09 16:30:00,17.06,243.07,3576380.7,713769.71,18.15,65.32,51.9,9254.0,9269.17,9325.17,9229.5,515639.0,481846.0,9.0,64.0,64.0,83.47,90.22,333.29,65.32
32,qh2-rcc1472018-10-0916:40:00,qh2-rcc147 ,2018-10-09 16:40:00,16.85,240.93,3293625.96,692601.79,18.13,64.17,51.05,9326.33,9360.17,9376.5,9332.17,515639.0,481846.0,9.0,64.0,64.0,82.3,89.43,330.36,64.17
33,qh2-rcc1472018-10-0916:50:00,qh2-rcc147 ,2018-10-09 16:50:00,16.46,239.73,4078109.36,212769.99,18.12,62.85,51.03,9306.5,9343.83,9362.5,9310.0,515639.0,481846.0,9.0,64.0,64.0,80.97,88.99,328.72,62.85
34,qh2-rcc1472018-10-0917:00:00,qh2-rcc147 ,2018-10-09 17:00:00,16.7,244.13,4157353.43,591201.15,18.0,64.4,51.15,9328.67,9359.0,9380.0,9327.5,515639.0,481846.0,9.0,64.0,64.0,82.4,90.62,334.75,64.4
35,qh2-rcc1472018-10-0917:10:00,qh2-rcc147 ,2018-10-09 17:10:00,16.97,243.6,2089748.42,1028196.61,18.1,64.0,51.72,9182.83,9228.33,9259.83,9175.83,515639.0,481846.0,9.0,64.0,64.0,82.1,90.42,334.02,64.0
36,qh2-rcc1472018-10-0917:20:00,qh2-rcc147 ,2018-10-09 17:20:00,17.45,248.4,2438807.85,451705.42,18.0,64.32,52.03,9371.83,9415.0,9418.5,9374.17,515639.0,481846.0,9.0,64.0,64.0,82.32,92.2,340.6,64.32
37,qh2-rcc1472018-10-0917:30:00,qh2-rcc147 ,2018-10-09 17:30:00,18.15,249.73,2215397.47,826858.26,18.3,64.73,53.0,9273.83,9329.83,9315.83,9282.0,515639.0,385751.0,9.0,64.0,64.0,83.03,92.7,342.43,64.73
38,qh2-rcc1472018-10-0917:40:00,qh2-rcc147 ,2018-10-09 17:40:00,16.8,246.53,1096245.94,330969.34,18.2,64.62,51.6,9223.67,9255.17,9296.0,9227.17,515639.0,366532.0,9.0,64.0,64.0,82.82,91.51,338.04,64.62
39,qh2-rcc1472018-10-0917:50:00,qh2-rcc147 ,2018-10-09 17:50:00,16.57,245.87,1720772.82,427019.2,18.08,65.28,51.73,9145.5,9199.17,9188.67,9172.33,515639.0,366532.0,9.0,64.0,64.0,83.37,91.26,337.13,65.28
40,qh2-rcc1472018-10-0918:00:00,qh2-rcc147 ,2018-10-09 18:00:00,16.79,242.93,1542315.15,369632.08,18.03,64.45,51.63,9195.67,9240.0,9238.83,9213.17,515639.0,366532.0,9.0,64.0,64.0,82.48,90.17,333.11,64.45
41,qh2-rcc1472018-10-0918:10:00,qh2-rcc147 ,2018-10-09 18:10:00,16.55,238.8,2211832.7,616581.87,18.22,62.5,50.8,9431.33,9469.83,9487.33,9425.5,515639.0,366532.0,9.0,64.0,64.0,80.72,88.64,327.44,62.5
42,qh2-rcc1472018-10-0918:20:00,qh2-rcc147 ,2018-10-09 18:20:00,16.7,239.47,4061495.22,181677.2,18.0,61.82,50.12,9558.5,9601.67,9619.17,9549.17,515639.0,462627.0,9.0,64.0,64.0,79.82,88.89,328.35,61.82
43,qh2-rcc1472018-10-0918:30:00,qh2-rcc147 ,2018-10-09 18:30:00,16.45,238.93,2154787.18,926802.64,18.15,62.18,49.75,9592.33,9629.67,9639.0,9599.33,515639.0,481846.0,9.0,64.0,64.0,80.33,88.69,327.62,62.18
44,qh2-rcc1472018-10-0918:40:00,qh2-rcc147 ,2018-10-09 18:40:00,16.64,241.07,1397185.0,316815.59,18.0,63.0,50.2,9587.67,9643.67,9654.17,9593.5,515639.0,481846.0,9.0,64.0,64.0,81.0,89.48,330.55,63.0
45,qh2-rcc1472018-10-0918:50:00,qh2-rcc147 ,2018-10-09 18:50:00,16.73,244.8,1805045.83,335052.84,18.08,63.52,50.62,9636.67,9677.5,9686.83,9655.33,515639.0,481846.0,9.0,64.0,64.0,81.6,90.87,335.67,63.52
46,qh2-rcc1472018-10-0919:00:00,qh2-rcc147 ,2018-10-09 19:00:00,16.4,241.87,2068818.29,356204.68,18.0,62.18,50.32,9577.17,9622.67,9632.0,9580.67,515639.0,481846.0,9.0,64.0,64.0,80.18,89.78,331.64,62.18
47,qh2-rcc1472018-10-0919:10:00,qh2-rcc147 ,2018-10-09 19:10:00,16.91,244.8,2286962.56,660055.86,18.07,63.23,50.22,9620.33,9670.5,9682.17,9630.83,515639.0,481846.0,9.0,64.0,64.0,81.3,90.87,335.67,63.23
48,qh2-rcc1472018-10-0919:20:00,qh2-rcc147 ,2018-10-09 19:20:00,16.57,243.2,1688424.08,59692.32,18.02,63.3,49.77,9644.83,9677.5,9672.83,9656.5,515639.0,481846.0,9.0,64.0,64.0,81.32,90.27,333.47,63.3
49,qh2-rcc1472018-10-0919:30:00,qh2-rcc147 ,2018-10-09 19:30:00,16.52,241.47,1795319.13,606747.58,18.18,62.18,50.23,9585.33,9663.5,9685.67,9601.67,515639.0,481846.0,9.0,64.0,64.0,80.37,89.63,331.1,62.18
50,qh2-rcc1472018-10-0919:40:00,qh2-rcc147 ,2018-10-09 19:40:00,16.34,238.53,3542170.4,609798.5,18.02,61.28,50.08,9558.5,9599.33,9601.67,9506.0,515639.0,481846.0,9.0,64.0,64.0,79.3,88.54,327.07,61.28
51,qh2-rcc1472018-10-0919:50:00,qh2-rcc147 ,2018-10-09 19:50:00,16.1,238.93,3830325.33,113406.92,18.12,61.6,50.07,9549.17,9609.83,9622.67,9584.17,515639.0,481846.0,9.0,64.0,64.0,79.72,88.69,327.62,61.6
52,qh2-rcc1472018-10-0920:00:00,qh2-rcc147 ,2018-10-09 20:00:00,16.43,241.33,3087270.91,665918.05,18.0,62.43,49.98,9605.17,9655.33,9664.67,9615.67,515639.0,481846.0,9.0,64.0,64.0,80.43,89.58,330.91,62.43
53,qh2-rcc1472018-10-0920:10:00,qh2-rcc147 ,2018-10-09 20:10:00,16.78,245.2,2251779.36,448356.63,18.0,61.92,50.0,9600.5,9657.67,9649.5,9605.17,515639.0,481846.0,9.0,64.0,64.0,79.92,91.01,336.21,61.92
54,qh2-rcc1472018-10-0920:20:00,qh2-rcc147 ,2018-10-09 20:20:00,16.73,247.33,1506342.82,401516.34,18.0,63.4,50.02,9581.83,9630.83,9613.33,9583.0,515639.0,481846.0,9.0,64.0,64.0,81.4,91.81,339.14,63.4
55,qh2-rcc1472018-10-0920:30:00,qh2-rcc147 ,2018-10-09 20:30:00,16.69,244.93,1633399.62,312717.52,18.07,62.27,50.25,9563.17,9615.67,9612.17,9580.67,515639.0,481846.0,9.0,64.0,64.0,80.33,90.92,335.85,62.27
56,qh2-rcc1472018-10-0920:40:00,qh2-rcc147 ,2018-10-09 20:40:00,16.84,247.6,1783683.23,510878.52,18.02,63.45,50.03,9614.5,9640.17,9661.17,9607.5,515639.0,481846.0,9.0,64.0,64.0,81.47,91.91,339.51,63.45
57,qh2-rcc1472018-10-0920:50:00,qh2-rcc147 ,2018-10-09 20:50:00,16.55,245.73,3316250.16,458570.04,18.05,62.77,50.13,9719.5,9776.67,9791.83,9704.33,515639.0,481846.0,9.0,64.0,64.0,80.82,91.21,336.95,62.77
58,qh2-rcc1472018-10-0921:00:00,qh2-rcc147 ,2018-10-09 21:00:00,16.97,242.8,2007034.78,322476.18,18.02,61.4,50.2,9602.83,9619.17,9635.5,9605.17,515639.0,481846.0,9.0,64.0,64.0,79.42,90.12,332.92,61.4
59,qh2-rcc1472018-10-0921:10:00,qh2-rcc147 ,2018-10-09 21:10:00,17.07,246.67,1432702.15,500247.38,18.1,63.72,50.4,9536.33,9556.17,9588.83,9521.17,515639.0,481846.0,9.0,64.0,64.0,81.82,91.56,338.23,63.72
60,qh2-rcc1472018-10-0921:20:00,qh2-rcc147 ,2018-10-09 21:20:00,16.45,243.2,1154719.13,140909.35,18.0,62.33,50.13,9605.17,9628.5,9634.33,9604.0,515639.0,481846.0,9.0,64.0,64.0,80.33,90.27,333.47,62.33
61,qh2-rcc1472018-10-0921:30:00,qh2-rcc147 ,2018-10-09 21:30:00,16.76,246.93,1206935.88,550754.47,18.1,63.52,50.3,9598.17,9636.67,9648.33,9586.5,515639.0,481846.0,9.0,64.0,64.0,81.62,91.66,338.59,63.52
62,qh2-rcc1472018-10-0921:40:00,qh2-rcc147 ,2018-10-09 21:40:00,16.29,240.0,1542887.95,316312.85,18.0,60.65,50.2,9597.0,9642.5,9674.0,9587.67,515639.0,481846.0,9.0,64.0,64.0,78.65,89.08,329.08,60.65
63,qh2-rcc1472018-10-0921:50:00,qh2-rcc147 ,2018-10-09 21:50:00,16.51,244.8,1581528.1,419126.32,18.0,62.03,50.52,9590.0,9634.33,9609.83,9592.33,515639.0,481846.0,9.0,64.0,64.0,80.03,90.87,335.67,62.03
64,qh2-rcc1472018-10-0922:00:00,qh2-rcc147 ,2018-10-09 22:00:00,16.92,248.0,1010176.71,275215.8,18.0,63.2,50.52,9577.17,9614.5,9633.17,9558.5,515639.0,481846.0,9.0,64.0,64.0,81.2,92.05,340.05,63.2
65,qh2-rcc1472018-10-0922:10:00,qh2-rcc147 ,2018-10-09 22:10:00,16.61,244.27,1967648.36,625223.46,18.02,62.65,50.15,9604.0,9653.0,9656.5,9601.67,515639.0,481846.0,9.0,64.0,64.0,80.67,90.67,334.93,62.65
66,qh2-rcc1472018-10-0922:20:00,qh2-rcc147 ,2018-10-09 22:20:00,16.9,247.6,1738012.56,75749.69,18.0,63.05,49.95,9626.17,9669.33,9675.17,9600.5,515639.0,481846.0,9.0,64.0,64.0,81.05,91.91,339.51,63.05
67,qh2-rcc1472018-10-0922:30:00,qh2-rcc147 ,2018-10-09 22:30:00,16.81,246.13,1888446.24,520065.49,18.0,62.78,50.07,9615.67,9641.33,9649.5,9580.67,515639.0,481846.0,9.0,64.0,64.0,80.78,91.36,337.49,62.78
68,qh2-rcc1472018-10-0922:40:00,qh2-rcc147 ,2018-10-09 22:40:00,16.21,242.93,1070788.3,475391.4,18.05,61.92,50.13,9597.0,9623.83,9646.0,9606.33,515639.0,481846.0,9.0,64.0,64.0,79.97,90.17,333.11,61.92
69,qh2-rcc1472018-10-0922:50:00,qh2-rcc147 ,2018-10-09 22:50:00,15.67,238.8,1526177.12,486888.54,18.0,60.92,49.98,9563.17,9580.67,9595.83,9549.17,515639.0,481846.0,9.0,64.0,64.0,78.92,88.64,327.44,60.92
70,qh2-rcc1472018-10-0923:00:00,qh2-rcc147 ,2018-10-09 23:00:00,16.8,247.87,1375448.17,500966.89,18.0,64.12,50.15,9500.17,9518.83,9515.33,9479.17,515639.0,481846.0,9.0,64.0,64.0,82.12,92.0,339.87,64.12
71,qh2-rcc1472018-10-0923:10:00,qh2-rcc147 ,2018-10-09 23:10:00,16.85,247.07,1926787.46,359850.47,18.03,62.32,49.97,9619.17,9642.5,9660.0,9597.0,515639.0,481846.0,9.0,64.0,64.0,80.35,91.71,338.77,62.32
72,qh2-rcc1472018-10-0923:20:00,qh2-rcc147 ,2018-10-09 23:20:00,16.67,245.47,1917920.37,209591.23,18.55,62.58,50.03,9633.17,9655.33,9676.33,9613.33,515639.0,481846.0,9.0,64.0,64.0,81.13,91.11,336.58,62.58
73,qh2-rcc1472018-10-0923:30:00,qh2-rcc147 ,2018-10-09 23:30:00,16.68,245.33,2479191.72,889396.35,18.48,61.98,50.18,9563.17,9611.0,9641.33,9555.0,515639.0,481846.0,9.0,64.0,64.0,80.47,91.06,336.4,61.98
74,qh2-rcc1472018-10-0923:40:00,qh2-rcc147 ,2018-10-09 23:40:00,16.54,245.07,1940132.66,412473.8,18.0,62.1,49.92,9492.0,9546.83,9536.33,9507.17,515639.0,481846.0,9.0,64.0,64.0,80.1,90.96,336.03,62.1
75,qh2-rcc1472018-10-0923:50:00,qh2-rcc147 ,2018-10-09 23:50:00,16.64,244.8,2388254.62,498588.67,17.98,62.17,49.72,9510.67,9563.17,9581.83,9522.33,515639.0,481846.0,9.0,64.0,64.0,80.15,90.87,335.67,62.17
76,qh2-rcc1472018-10-1000:00:00,qh2-rcc147 ,2018-10-10 00:00:00,15.46,230.53,1840106.87,385859.35,18.02,59.13,49.32,9488.5,9553.83,9551.5,9522.33,515639.0,481846.0,9.0,64.0,64.0,77.15,85.57,316.1,59.13
77,qh2-rcc1472018-10-1000:10:00,qh2-rcc147 ,2018-10-10 00:10:00,17.07,242.8,3058742.06,762851.04,18.0,61.03,49.27,9658.83,9699.67,9707.83,9655.33,515639.0,481846.0,9.0,64.0,64.0,79.03,90.12,332.92,61.03
78,qh2-rcc1472018-10-1000:20:00,qh2-rcc147 ,2018-10-10 00:20:00,13.97,224.27,855677.38,60537.05,18.03,57.67,49.05,9586.5,9639.0,9677.5,9604.0,515639.0,481846.0,9.0,64.0,64.0,75.7,83.24,307.51,57.67
79,qh2-rcc1472018-10-1000:30:00,qh2-rcc147 ,2018-10-10 00:30:00,13.06,218.67,475899.11,506757.16,18.52,57.03,49.6,9458.17,9503.67,9524.67,9473.33,515639.0,481846.0,9.0,64.0,64.0,75.55,81.17,299.83,57.03
80,qh2-rcc1472018-10-1000:40:00,qh2-rcc147 ,2018-10-10 00:40:00,13.15,220.93,218230.0,411690.94,18.42,61.18,53.97,8228.5,8216.83,8261.17,8200.5,515639.0,481846.0,9.0,64.0,64.0,79.6,82.01,302.94,61.18
81,qh2-rcc1472018-10-1000:50:00,qh2-rcc147 ,2018-10-10 00:50:00,12.69,223.33,506311.13,309252.63,18.5,62.75,54.52,8131.67,8166.67,8167.83,8141.0,515639.0,481846.0,9.0,64.0,64.0,81.25,82.9,306.23,62.75
82,qh2-rcc1472018-10-1001:00:00,qh2-rcc147 ,2018-10-10 01:00:00,12.67,221.87,48865.13,266656.15,18.87,63.32,54.32,8135.17,8181.83,8174.83,8148.0,515639.0,481846.0,9.0,64.0,64.0,82.18,82.35,304.22,63.32
83,qh2-rcc1472018-10-1001:10:00,qh2-rcc147 ,2018-10-10 01:10:00,13.25,220.67,477567.3,474591.4,18.72,63.22,54.22,8122.33,8153.83,8173.67,8135.17,515639.0,481846.0,9.0,64.0,64.0,81.93,81.91,302.57,63.22
84,qh2-rcc1472018-10-1001:20:00,qh2-rcc147 ,2018-10-10 01:20:00,12.73,222.13,194240.16,51217.06,18.43,62.75,54.58,8114.17,8130.5,8156.17,8103.67,515639.0,481846.0,9.0,64.0,64.0,81.18,82.45,304.59,62.75
85,qh2-rcc1472018-10-1001:30:00,qh2-rcc147 ,2018-10-10 01:30:00,12.95,223.6,346867.87,613914.08,18.33,63.42,54.67,8141.0,8157.33,8179.5,8136.33,515639.0,481846.0,9.0,64.0,64.0,81.75,83.0,306.6,63.42
86,qh2-rcc1472018-10-1001:40:00,qh2-rcc147 ,2018-10-10 01:40:00,13.16,222.4,211443.54,351633.02,18.67,62.88,54.48,8086.17,8121.17,8130.5,8097.83,515639.0,481846.0,9.0,64.0,64.0,81.55,82.55,304.95,62.88
87,qh2-rcc1472018-10-1001:50:00,qh2-rcc147 ,2018-10-10 01:50:00,12.87,220.93,513593.32,317886.37,18.7,62.63,54.33,8174.83,8158.5,8225.0,8142.17,515639.0,481846.0,9.0,64.0,64.0,81.33,82.01,302.94,62.63
88,qh2-rcc1472018-10-1002:00:00,qh2-rcc147 ,2018-10-10 02:00:00,12.75,217.73,73845.67,272437.46,18.48,62.9,54.65,8064.0,8127.0,8111.83,8082.67,515639.0,481846.0,9.0,64.0,64.0,81.38,80.82,298.55,62.9
89,qh2-rcc1472018-10-1002:10:00,qh2-rcc147 ,2018-10-10 02:10:00,13.24,219.33,495665.18,505272.35,18.67,62.5,54.42,8174.83,8222.67,8226.17,8194.67,515639.0,481846.0,9.0,64.0,64.0,81.17,81.41,300.75,62.5
90,qh2-rcc1472018-10-1002:20:00,qh2-rcc147 ,2018-10-10 02:20:00,12.64,221.87,41714.12,120064.1,18.4,63.0,54.17,8100.17,8121.17,8155.0,8106.0,515639.0,481846.0,9.0,64.0,64.0,81.4,82.35,304.22,63.0
91,qh2-rcc1472018-10-1002:30:00,qh2-rcc147 ,2018-10-10 02:30:00,12.99,221.07,483969.33,490995.64,18.52,63.02,54.32,8151.5,8192.33,8197.0,8158.5,515639.0,481846.0,9.0,64.0,64.0,81.53,82.06,303.12,63.02
92,qh2-rcc1472018-10-1002:40:00,qh2-rcc147 ,2018-10-10 02:40:00,12.8,219.07,75394.3,283718.65,18.13,62.55,54.08,8248.33,8264.67,8284.5,8236.67,515639.0,481846.0,9.0,64.0,64.0,80.68,81.31,300.38,62.55
93,qh2-rcc1472018-10-1002:50:00,qh2-rcc147 ,2018-10-10 02:50:00,12.74,220.93,531842.68,459772.75,18.68,62.27,54.33,8130.5,8194.67,8176.0,8171.33,515639.0,481846.0,9.0,64.0,64.0,80.95,82.01,302.94,62.27
