,Id,Series,Time,CPU_Load,Power,Network_RX,Network_TX,Inlet_Temperature,CPU1_Temperature,CPU2_Temperature,Fan_speed1,Fan_speed2,Fan_speed3,Fan_speed4,Ram,Ram_Used,No_Of_Running_vms,CPU_cores,CPU_cores_used,Ambient_Temperature,Cooling_Power,Total_Power,CPU_Temp_Max
0,qh2-rcc1592018-10-0911:20:00,qh2-rcc159 ,2018-10-09 11:20:00,24.75,267.2,342035.87,257711.93,19.15,70.27,64.6,8965.83,8957.67,8929.67,8975.17,515639.0,328811.0,10.0,64.0,64.0,89.42,91.03,358.23,70.27
1,qh2-rcc1592018-10-0911:30:00,qh2-rcc159 ,2018-10-09 11:30:00,24.49,264.27,282866.58,632115.59,19.93,70.22,64.22,8981.0,9028.83,8933.17,9082.5,515639.0,328811.0,10.0,64.0,64.0,90.15,90.03,354.29,70.22
2,qh2-rcc1592018-10-0911:40:00,qh2-rcc159 ,2018-10-09 11:40:00,25.39,266.0,59320.26,384463.01,19.98,70.65,64.33,8998.5,8972.83,8929.67,9010.17,515639.0,328811.0,10.0,64.0,64.0,90.63,90.62,356.62,70.65
3,qh2-rcc1592018-10-0911:50:00,qh2-rcc159 ,2018-10-09 11:50:00,24.76,264.8,321347.25,480279.46,20.0,70.55,64.53,9003.17,8979.83,8942.5,9026.5,515639.0,328811.0,10.0,64.0,64.0,90.55,90.21,355.01,70.55
4,qh2-rcc1592018-10-0912:00:00,qh2-rcc159 ,2018-10-09 12:00:00,24.69,264.53,353870.97,389332.55,20.0,70.18,64.28,8983.33,8955.33,8934.33,9018.33,515639.0,328811.0,10.0,64.0,64.0,90.18,90.12,354.65,70.18
5,qh2-rcc1592018-10-0912:10:00,qh2-rcc159 ,2018-10-09 12:10:00,25.04,269.33,74831.53,430904.56,20.0,71.02,64.22,9089.5,9054.5,9024.17,9104.67,515639.0,328811.0,10.0,64.0,64.0,91.02,91.75,361.09,71.02
6,qh2-rcc1592018-10-0912:20:00,qh2-rcc159 ,2018-10-09 12:20:00,24.65,268.0,112062.6,404911.42,19.98,70.45,64.53,9004.33,8977.5,8957.67,9021.83,515639.0,328811.0,10.0,64.0,64.0,90.43,91.3,359.3,70.45
7,qh2-rcc1592018-10-0912:30:00,qh2-rcc159 ,2018-10-09 12:30:00,24.27,272.0,342282.78,341074.19,20.0,70.8,64.35,9069.67,9039.33,9009.0,9090.67,515639.0,328811.0,10.0,64.0,64.0,90.8,92.66,364.66,70.8
8,qh2-rcc1592018-10-0912:40:00,qh2-rcc159 ,2018-10-09 12:40:00,24.75,271.6,125693.69,399872.15,20.0,70.77,64.23,9035.83,9011.33,8977.5,9052.17,515639.0,328811.0,10.0,64.0,64.0,90.77,92.53,364.13,70.77
9,qh2-rcc1592018-10-0912:50:00,qh2-rcc159 ,2018-10-09 12:50:00,25.04,270.67,257264.31,382798.23,20.0,70.7,64.25,9084.83,9060.33,9019.5,9094.17,515639.0,328811.0,10.0,64.0,64.0,90.7,92.21,362.87,70.7
10,qh2-rcc1592018-10-0913:00:00,qh2-rcc159 ,2018-10-09 13:00:00,22.83,265.33,308933.92,360898.3,20.0,69.65,63.13,9014.83,8997.33,8962.33,9040.5,515639.0,328811.0,10.0,64.0,64.0,89.65,90.39,355.72,69.65
11,qh2-rcc1592018-10-0913:10:00,qh2-rcc159 ,2018-10-09 13:10:00,20.0,266.93,75642.42,172007.72,20.0,69.12,63.07,8967.0,8948.33,8916.83,8975.17,515639.0,328811.0,10.0,64.0,64.0,89.12,90.94,357.87,69.12
12,qh2-rcc1592018-10-0913:20:00,qh2-rcc159 ,2018-10-09 13:20:00,19.98,273.33,248006.07,701304.24,20.0,69.77,63.65,9051.0,9034.67,9014.83,9058.0,515639.0,328811.0,10.0,64.0,64.0,89.77,93.12,366.45,69.77
13,qh2-rcc1592018-10-0913:30:00,qh2-rcc159 ,2018-10-09 13:30:00,20.07,272.8,237390.95,128874.55,19.95,70.0,63.83,9045.17,9034.67,8984.5,9061.5,515639.0,328811.0,10.0,64.0,64.0,89.95,92.93,365.73,70.0
